Rk,Team,Conf,W,L,Pct,Conf_W,Conf_L,Conf_Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
99,Marshall,CUSA (East),7,6,.538,5,3,.625,33.0,23.8,2.37,-3.17,,,,
100,San Jose State,MWC (West),5,7,.417,3,5,.375,20.0,26.5,-9.11,-3.19,,,,
101,UTSA,CUSA (West),12,2,.857,8,1,.889,36.9,24.6,5.65,-3.21,,,15,
102,Houston,American,12,2,.857,8,1,.889,35.9,20.4,8.53,-3.26,17,,16,
103,Kent State,MAC (East),7,7,.500,6,3,.667,33.0,36.3,-7.88,-3.45,,,,
104,Liberty,Ind,8,5,.615,1,1,.500,33.6,21.5,3.80,-3.51,,,,
105,Hawaii,MWC (West),6,7,.462,3,5,.375,28.8,31.4,-5.19,-3.58,,,,
106,Fresno State,MWC (West),10,3,.769,6,2,.750,33.4,20.5,4.88,-3.89,,,18,
107,Florida Atlantic,CUSA (East),5,7,.417,3,5,.375,25.4,25.8,-5.74,-3.90,,,,
108,Arkansas State,Sun Belt (West),2,10,.167,1,7,.125,25.3,38.6,-14.30,-3.97,,,,
109,Massachusetts,Ind,1,11,.083,1,3,.250,16.3,43.1,-21.27,-4.02,,,,
110,Troy,Sun Belt (East),5,7,.417,3,5,.375,22.8,26.1,-7.53,-4.03,,,,
111,North Texas,CUSA (West),6,7,.462,5,3,.625,27.5,27.5,-4.51,-4.13,,,,
112,Old Dominion,CUSA (East),6,7,.462,5,3,.625,27.6,27.8,-5.01,-4.39,,,,
113,Akron,MAC (East),2,10,.167,1,7,.125,19.8,39.5,-16.82,-4.41,,,,
114,Miami (OH),MAC (East),7,6,.538,5,3,.625,28.9,23.1,-0.49,-4.42,,,,
115,Wyoming,MWC (Mountain),7,6,.538,2,6,.250,25.4,23.7,-3.14,-4.52,,,,
116,Central Michigan,MAC (West),9,4,.692,6,2,.750,32.3,25.8,1.35,-4.57,,,,
117,Southern Mississippi,CUSA (West),3,9,.250,2,6,.250,17.7,27.9,-13.12,-4.62,,,,
118,Eastern Michigan,MAC (West),7,6,.538,4,4,.500,30.2,30.0,-3.88,-4.80,,,,
